,labels,frequency
2610,sized truffle pizza,1
2611,blueberry mohitos,1
2612,veggie spring rolls,1
2613,tension,1
2614,oversized bread pudding,1
2615,sandwich wraps,1
2616,onions and coconut milk,1
2617,hair,1
2618,coconut mojitos,1
2619,mexican fare,2
2620,restaraunt,1
2621,momos  dumplings ,1
2622,shitake pancakes,1
2623,steamed greens,1
2624,thai dishes,1
2625,vegetable juices,1
2626,crew,2
2627,russ pizza,1
2628,lasagna,1
2629,ripe pomegranate seeds,1
2630,grilled octopus,1
2631,turkey club,1
2632,snacking,1
2633,amount of arugula,1
2634,a balsamic vinegar reduction s,1
2635,brasserie  style menu,1
2636,bistro choices,1
2637,frisee salad with bacon  blue ,1
2638,a poached egg,1
2639,moules,2
2640,bountiful calamari plate,1
2641,appropriately earthy mushroom ,1
2642,local dinner,1
2643,darling,1
2644,individual pizzas,1
2645,baked fontina,1
2646,lentil cake,1
2647,appreciated,1
2648,cluding wine,1
2649,american bar food staples,1
2650,alternative,1
2651,chicken breast with mole sauce,1
2652,sour cream and pico de,1
2653,buffet lunch,1
2654,dishes served,2
2655,cup of fried clams,1
2656,fried catfish,1
2657,yams,1
2658,cold,1
2659,peanut sauce,1
2660,candle,1
2661,holiday dinner,1
2662,pizza crust,1
2663,disco balls,1
2664,dance beats,1
2665,marinated kobe beef,1
2666,scallops collapse,1
2667,eel  soy broth with black truf,1
2668,cooking of miso soup,1
2669,freeking pizza,1
2670,mango salsa with fish cake,1
2671,apple suace,1
2672,open  faced sandwich,1
2673,scrambled eggs,1
2674,district,1
2675,blueberry pancakes,1
2676,otoro tuna,1
2677,whisper,1
2678,sea salt,1
2679,pleasure,1
2680,round pizza,1
2681,new bar menu,1
2682,fennel  fragrant grilled sardi,1
2683,sweet beet ravioli,1
2684,brown  butter  slicked squash ,1
2685,swiss chard  ricotta,1
2686,drop ceiling,1
2687,versatile,1
2688,french,1
2689,country ham sandwiches,1
2690,liver terrine,1
2691,kumquat  cranberry,1
2692,speck,1
2693,cheese plates,1
2694,furnishings,1
2695,per  slice pizza,1
2696,calamari app,1
2697,scallop ceviche,1
2698,shrimp summer role,1
2699,shrimp dishes,1
2700,sheet,1
2701,new color,1
2702,duck dish,1
2703,organic chicken,1
2704,outdoor patio,1
2705,blue ribbon menu,1
2706,range of cheese,1
2707,vegetable portions,1
2708,blue shirted cigar,1
2709,bass,1
2710,tomato sauce,1
2711,quality of the buffet,1
2712,clientelle,1
2713,korean fare,1
2714,table in the room,1
2715,mix of sandwiches,1
2716,vegetable napoleon,1
2717,veggie burger,1
2718,cajun wraps,1
2719,homemade food,1
2720,french cosmos,1
2721,msg dessert,1
2722,wine garlic bread,1
2723,answer,1
2724,beginning appetizers,1
2725,chocolate souffle with rasberr,1
2726,menus closed,1
2727,mussels marina,1
2728,tomato and onions,1
2729,lemon juice,1
2730,ceasar dressing,1
2731,red pepper hummus,1
2732,sardinian stuffed squid,1
2733,guac,1
2734,lobster spring rolls,1
2735,shrimp dumplings with citrus s,1
2736,smoky,1
2737,filet mignon  pineapple variet,1
2738,steamed chocolate cake with mi,1
2739,king crab,1
2740,shrimp octopus,1
2741,dining establishment,1
2742,artworks,1
2743,gold ceiling,1
2744,cocktail waiters,1
2745,lobster ceviche,1
2746,mango,1
2747,bathrooms,1
2748,exotic teas,1
2749,olive cream cheese,1
2750,lox spread,1
2751,eateries,1
2752,pleasures,1
2753,teas,1
2754,deluxe dining room,1
2755,smoked salmon appetizer,1
2756,detail,1
2757,pre  game drink,1
2758,patties,2
2759,mixed,1
2760,italian menu,1
2761,varieties,1
2762,tuna sandwhich,1
2763,foie gras dumpling,1
2764,somosas,1
2765,chai,1
2766,chole,1
2767,dhosas,1
2768,dhal,1
2769,smoked salmon,1
2770,appys,1
2771,full bar,1
2772,abijah s secret sauce,1
2773,un  beef patties,1
2774,mediterranean influence,1
2775,tuna salad,1
2776,roasted red peppers,1
2777,apitites,1
2778,drink list,2
2779,price category,1
2780,a bowl of fried chickpeas,1
2781,lamb skewers,1
2782,french bread,1
2783,filo dough,1
2784,deep fried,1
2785,nelson,1
2786,tramezzini,1
2787,turkey sandwich with avocado a,1
2788,2 cheese slices,1
2789,jelly fish,1
2790,drunken chicken,1
2791,soupy dumplings,1
2792,stir fry blue crab,1
2793,dinner entree,1
2794,noodle soup,1
2795,bar crowd,1
2796,frozen lasagna,1
2797,tamales,1
2798,white sangria,1
2799,lobby,1
2800,tabs,1
2801,ceasar salad,1
2802,steak knife,1
2803,single drink,1
2804,kaiseki dinners,1
2805,fish tacos,1
2806,pizza with fresh mozzarella,1
2807,chicken with soba noodles and ,1
2808,calves liver,1
2809,fried onions,1
2810,eggplant parmasean,1
2811,shrimp with pasta,1
2812,beverage selection,1
2813,papaya juice,1
2814,pompous maitre,1
2815,jazz bar,1
2816,garden dining,1
2817,wine suggestion,1
2818,turkey melt,1
2819,broiled scallops,1
2820,dance,1
2821,beef negimaki,1
2822,piano,1
2823,nachos,1
2824,onion bloom,1
2825,ice cream dessert,1
2826,ice cream scoop,1
2827,cannoli,1
2828,cookies,1
2829,white cakes,1
2830,bistro food,1
2831,d al,1
2832,mix up,1
2833,black duck,1
2834,sommlier,1
2835,back waiters,1
2836,owner manager,1
2837,nostalgia,1
2838,blueberry waffles,1
2839,brick oven,1
2840,dance floor,1
2841,disco music,1
2842,fish entrees,1
2843,polish comfort food,1
2844,veggie,1
2845,vegan,1
2846,barbecued lamb,1
2847,triple  decker roast turkey cl,1
2848,brioche burger,1
2849,skin  on fries,1
2850,curry dishes,1
2851,sweet potato,1
2852,serving dinner,1
2853,rice dishes,1
2854,dulce de leche ice  cream,1
2855,chocolate sauce tic  tac  toe,1
2856,poached pineapple,1
2857,banquet menu,1
2858,beef entree with salad,1
2859,fried dumpling,1
2860,soul food,1
2861,bottle of red wine,1
2862,traditional latin cuisine,1
2863,green plantains coat,1
2864,halibut resting,1
2865,sweet,1
2866,tart tomato escabeche,1
2867,hawaiian rib,1
2868,sinatra,1
2869,pizza joint,1
2870,tempura shrimp roll,1
2871,lobster salad enough,1
2872,rib appetizer,1
2873,stained glass,1
2874,beers on tap,1
2875,priced wine list,1
2876,pinot,1
